"","date","R_AU","R_CA","R_DK","R_IS","R_JP","R_NZ","R_NO","R_SE","R_CH","R_GB","R_US","R_CN","R_HK","R_IN","R_ID","R_KR","R_MY","R_PH","R_TH","R_CO","R_MX","R_HR","R_CZ","R_HU","R_PL","R_RO","R_IL","R_RU","R_ZA","R_TR","R_AR","R_BR","R_CL","R_PE","R_RS"
"1",1996 Q1,"neither","loosen","loosen",NA,NA,NA,"loosen","loosen","neither","loosen","loosen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"neither",NA,"tighten",NA,NA,NA,NA
"2",1996 Q2,"neither","loosen","loosen",NA,NA,NA,"neither","loosen","neither","loosen","neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tighten",NA,"tighten",NA,NA,NA,NA
"3",1996 Q3,"loosen","loosen","loosen",NA,NA,NA,"neither","loosen","loosen","neither","neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"neither",NA,"tighten",NA,NA,NA,NA
"4",1996 Q4,"loosen","loosen","neither",NA,NA,NA,"loosen","loosen","neither","tighten","neither",NA,NA,NA,NA,NA,"tighten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tighten",NA,"tighten",NA,NA,NA,NA
"5",1997 Q1,"neither","neither","neither",NA,NA,NA,"loosen","neither","neither","neither","tighten",NA,NA,NA,NA,NA,"tighten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"neither",NA,"loosen",NA,NA,NA,NA
"6",1997 Q2,"loosen","tighten","neither",NA,NA,NA,"neither","neither","neither","tighten","neither",NA,NA,NA,NA,NA,"tighten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"neither",NA,"loosen",NA,NA,NA,NA
"7",1997 Q3,"loosen","neither","neither",NA,NA,NA,"tighten","neither","neither","tighten","neither",NA,NA,NA,NA,NA,"tighten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"neither",NA,"tighten",NA,NA,NA,NA
"8",1997 Q4,"neither","tighten","tighten",NA,NA,NA,"neither","tighten","neither","tighten","neither",NA,NA,NA,NA,NA,"tighten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"tighten",NA,NA,NA,NA
"9",1998 Q1,"neither","tighten","neither",NA,NA,NA,"tighten","neither","neither","neither","neither",NA,NA,NA,NA,NA,"tighten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,NA,NA,NA
"10",1998 Q2,"neither","neither","tighten",NA,NA,"loosen","tighten","loosen","neither","tighten","neither",NA,NA,NA,NA,NA,"neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tighten",NA,"loosen",NA,NA,NA,NA
"11",1998 Q3,"neither","tighten","tighten",NA,NA,"loosen","tighten","neither","neither","neither","loosen",NA,"neither",NA,NA,NA,"loosen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tighten",NA,"tighten",NA,NA,NA,NA
"12",1998 Q4,"loosen","loosen","loosen",NA,NA,"loosen","neither","loosen","neither","loosen","loosen",NA,"loosen",NA,NA,NA,"loosen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"tighten",NA,NA,NA,NA
"13",1999 Q1,"neither","loosen","loosen",NA,NA,"tighten","loosen","loosen","neither","loosen","neither",NA,"neither",NA,NA,NA,"neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,NA,NA,NA
"14",1999 Q2,"neither","loosen","loosen",NA,NA,"neither","loosen","neither","loosen","loosen","tighten",NA,"neither",NA,NA,NA,"loosen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"tighten",NA,NA,NA,NA
"15",1999 Q3,"neither","neither","neither",NA,NA,"neither","loosen","neither","neither","tighten","tighten",NA,"tighten",NA,NA,NA,"loosen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"tighten",NA,NA,NA,NA
"16",1999 Q4,"tighten","tighten","tighten",NA,NA,"tighten","neither","tighten","neither","tighten","tighten",NA,"tighten",NA,NA,NA,"neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,"loosen",NA,NA,NA,NA
"17",2000 Q1,"tighten","tighten","tighten",NA,NA,"tighten","neither","tighten","tighten","tighten","tighten",NA,"tighten",NA,NA,NA,"neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,"loosen",NA,NA,NA,NA
"18",2000 Q2,"tighten","tighten","tighten",NA,NA,"tighten","tighten","neither","tighten","neither","tighten",NA,"tighten",NA,NA,NA,"neither",NA,"neither",NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"neither",NA,"tighten",NA,NA,NA,NA
"19",2000 Q3,"tighten","neither","tighten",NA,"neither","neither","tighten","neither","neither","neither","neither",NA,"neither",NA,NA,NA,"neither",NA,"neither",NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"neither",NA,"tighten",NA,NA,NA,NA
"20",2000 Q4,"neither","neither","loosen",NA,"neither","neither","neither","tighten","neither","neither","neither",NA,"neither",NA,NA,NA,"neither",NA,"neither",NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"tighten",NA,"tighten",NA,NA,NA,NA
"21",2001 Q1,"loosen","loosen","loosen",NA,"loosen","loosen","neither","neither","loosen","loosen","loosen",NA,"loosen",NA,NA,NA,"neither",NA,"neither",NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"neither",NA,"tighten","neither",NA,NA,NA
"22",2001 Q2,"loosen","loosen","loosen",NA,NA,"loosen","neither","neither","neither","loosen","loosen",NA,"loosen",NA,NA,NA,"neither",NA,"tighten",NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,"loosen","tighten",NA,NA,NA
"23",2001 Q3,"loosen","loosen","loosen",NA,NA,"loosen","neither","loosen","loosen","loosen","loosen",NA,"loosen",NA,NA,NA,"loosen",NA,"neither",NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,"loosen","tighten",NA,NA,NA
"24",2001 Q4,"loosen","loosen","loosen",NA,NA,"loosen","loosen","neither","loosen","loosen","loosen",NA,"loosen",NA,NA,NA,"neither",NA,"loosen",NA,NA,NA,NA,NA,NA,NA,"loosen",NA,"neither",NA,"loosen","neither",NA,NA,NA
"25",2002 Q1,"neither","loosen","loosen",NA,NA,"tighten","neither","tighten","neither","neither","neither",NA,"neither",NA,NA,NA,"neither",NA,"loosen",NA,NA,NA,NA,NA,NA,NA,"tighten",NA,"tighten",NA,"tighten","loosen","loosen",NA,NA
"26",2002 Q2,"tighten","tighten","neither",NA,NA,"tighten","neither","tighten","loosen","neither","neither",NA,"neither",NA,NA,NA,"neither",NA,"neither","loosen",NA,NA,NA,NA,NA,NA,"tighten",NA,"tighten",NA,"loosen","neither","loosen",NA,NA
"27",2002 Q3,"neither","tighten","loosen",NA,NA,"tighten","tighten","neither","loosen","neither","neither",NA,"neither",NA,NA,NA,"neither",NA,"neither","neither",NA,NA,NA,NA,NA,NA,"neither",NA,"tighten",NA,"loosen","loosen","loosen",NA,NA
"28",2002 Q4,"neither","neither","loosen",NA,NA,"neither","loosen","loosen","neither","neither","loosen",NA,"loosen",NA,NA,NA,"neither",NA,"loosen","neither",NA,NA,NA,NA,NA,NA,"loosen",NA,"neither",NA,"loosen","tighten","neither",NA,NA
"29",2003 Q1,"neither","tighten","loosen",NA,NA,"neither","loosen","loosen","loosen","loosen","neither",NA,"neither",NA,NA,NA,"neither",NA,"neither","tighten",NA,NA,NA,NA,NA,NA,"loosen",NA,"neither",NA,"neither","tighten","loosen",NA,NA
"30",2003 Q2,"neither","tighten","loosen",NA,NA,"loosen","loosen","loosen","neither","neither","loosen",NA,"loosen",NA,NA,NA,"loosen",NA,"loosen","tighten",NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,"loosen","loosen","neither",NA,NA
"31",2003 Q3,"neither","loosen","neither",NA,NA,"loosen","loosen","loosen","neither","loosen","neither",NA,"neither",NA,NA,NA,"neither",NA,"neither","neither",NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,"loosen","loosen","neither","neither",NA
"32",2003 Q4,"tighten","neither","neither",NA,NA,"neither","loosen","neither","neither","tighten","neither",NA,"neither",NA,NA,NA,"neither",NA,"neither","neither",NA,NA,NA,NA,NA,NA,"loosen",NA,"loosen",NA,"tighten","loosen","loosen","loosen",NA
"33",2004 Q1,"neither","loosen","neither",NA,NA,"tighten","loosen","loosen","neither","tighten","neither",NA,"neither",NA,NA,NA,"neither",NA,"neither","loosen",NA,"loosen",NA,NA,NA,NA,"loosen",NA,"neither",NA,"loosen","loosen","loosen","neither",NA
"34",2004 Q2,"neither","loosen","neither",NA,NA,"tighten","neither","loosen","tighten","tighten","tighten",NA,"neither",NA,NA,NA,"loosen",NA,"neither","neither",NA,"tighten",NA,NA,NA,NA,"loosen","loosen","neither",NA,"tighten","loosen","neither","neither",NA
"35",2004 Q3,"neither","tighten","neither",NA,NA,"tighten","neither","neither","tighten","tighten","tighten",NA,"tighten",NA,NA,NA,"neither",NA,"tighten","neither",NA,"loosen",NA,NA,NA,NA,"neither","neither","loosen",NA,"neither","tighten","tighten","tighten",NA
"36",2004 Q4,"neither","tighten","neither",NA,NA,"tighten","neither","neither","neither","neither","tighten",NA,"tighten",NA,NA,NA,"neither",NA,"tighten","loosen",NA,"loosen",NA,NA,NA,NA,"loosen","neither","neither",NA,"neither","tighten","tighten","tighten",NA
"37",2005 Q1,"tighten","neither","neither",NA,NA,"tighten","neither","neither","neither","neither","tighten",NA,"tighten",NA,NA,NA,"neither",NA,"tighten","neither","tighten","tighten",NA,NA,NA,NA,"loosen","neither","neither",NA,"tighten","tighten","tighten","neither",NA
"38",2005 Q2,"neither","neither","neither",NA,NA,"neither","neither","loosen","neither","neither","tighten","neither","tighten",NA,NA,NA,"neither",NA,"tighten","neither","tighten","tighten",NA,NA,NA,NA,"neither","neither","loosen",NA,"tighten","tighten","tighten","neither",NA
"39",2005 Q3,"neither","tighten","neither",NA,NA,"neither","tighten","neither","neither","loosen","tighten","neither","tighten",NA,"tighten",NA,"neither",NA,"tighten","loosen","loosen","loosen",NA,NA,NA,NA,"tighten","neither","neither",NA,"neither","loosen","tighten","neither",NA
"40",2005 Q4,"neither","tighten","tighten",NA,NA,"tighten","tighten","neither","tighten","neither","tighten","neither","tighten",NA,"tighten","tighten","tighten",NA,"tighten","neither","loosen","tighten",NA,NA,NA,NA,"tighten","loosen","neither",NA,"tighten","loosen","tighten","tighten",NA
"41",2006 Q1,"neither","tighten","tighten",NA,"loosen","neither","tighten","tighten","tighten","neither","tighten","neither","tighten",NA,"neither","tighten","tighten",NA,"tighten","neither","loosen","loosen",NA,NA,NA,NA,"tighten","neither","neither",NA,"neither","loosen","tighten","tighten",NA
"42",2006 Q2,"tighten","tighten","tighten",NA,"neither","neither","tighten","tighten","tighten","neither","tighten","tighten","tighten",NA,"loosen","tighten","tighten",NA,"tighten","tighten","loosen","tighten",NA,NA,NA,NA,"tighten","loosen","tighten",NA,"tighten","loosen","tighten","tighten",NA
"43",2006 Q3,"tighten","neither","tighten",NA,"tighten","neither","tighten","tighten","tighten","tighten","neither","tighten","neither",NA,"loosen","tighten","neither",NA,"neither","tighten","tighten","tighten",NA,NA,NA,NA,"tighten","neither","tighten",NA,"neither","loosen","tighten","neither",NA
"44",2006 Q4,"tighten","neither","tighten",NA,"neither","neither","tighten","tighten","tighten","tighten","neither","neither","neither",NA,"loosen","neither","neither",NA,"neither","tighten","loosen","tighten",NA,NA,NA,NA,"loosen","loosen","tighten",NA,"tighten","loosen","neither","neither",NA
"45",2007 Q1,"neither","neither","tighten",NA,"tighten","tighten","tighten","tighten","tighten","tighten","neither","tighten","neither",NA,"loosen","neither","neither",NA,"loosen","tighten","tighten","tighten",NA,"neither",NA,NA,"loosen","loosen","neither",NA,"tighten","loosen","loosen","neither",NA
"46",2007 Q2,"neither","neither","tighten",NA,"neither","tighten","tighten","tighten","tighten","tighten","neither","tighten","neither",NA,"loosen","neither","neither",NA,"loosen","tighten","tighten","tighten",NA,"loosen",NA,NA,"loosen","loosen","tighten",NA,"loosen","loosen","neither","neither",NA
"47",2007 Q3,"tighten","tighten","neither","neither","neither","tighten","tighten","tighten","tighten","tighten","loosen","tighten","loosen",NA,"loosen","tighten","neither",NA,"loosen","tighten","loosen","tighten",NA,"loosen",NA,NA,"tighten","neither","tighten",NA,"tighten","loosen","tighten","tighten",NA
"48",2007 Q4,"tighten","loosen","neither","tighten","neither","neither","tighten","tighten","neither","loosen","loosen","tighten","loosen",NA,"loosen","neither","neither",NA,"neither","tighten","tighten","tighten",NA,"neither",NA,NA,"tighten","neither","tighten",NA,"tighten","neither","tighten","neither",NA
"49",2008 Q1,"tighten","loosen","neither","tighten","neither","neither","neither","tighten","neither","loosen","loosen","neither","loosen",NA,"neither","neither","neither","loosen","neither","tighten","loosen","loosen","tighten","neither",NA,NA,"loosen","tighten","neither",NA,"tighten","neither","tighten","tighten",NA
"50",2008 Q2,"neither","loosen","tighten","tighten","neither","neither","tighten","neither","neither","loosen","loosen","neither","loosen",NA,"tighten","neither","neither","tighten","neither","neither","tighten","tighten","neither","tighten",NA,NA,"tighten","tighten","tighten",NA,"tighten","tighten","tighten","tighten",NA
"51",2008 Q3,"loosen","neither","tighten","neither","neither","loosen","neither","tighten","neither","neither","neither","loosen","neither",NA,"tighten","tighten","neither","tighten","tighten","tighten","tighten","tighten","loosen","neither",NA,NA,"tighten","tighten","neither",NA,"tighten","tighten","tighten","tighten","neither"
"52",2008 Q4,"loosen","loosen","loosen","tighten","loosen","loosen","loosen","loosen","loosen","loosen","loosen","loosen","loosen",NA,"neither","loosen","loosen","loosen","loosen","loosen","neither","loosen","loosen","tighten",NA,NA,"loosen","tighten","loosen",NA,"loosen","neither","neither","neither","tighten"
"53",2009 Q1,"loosen","loosen","loosen","loosen","neither","loosen","loosen","loosen","loosen","loosen","neither","neither","neither","loosen","loosen","loosen","loosen","loosen","loosen","loosen","loosen","tighten","loosen","loosen",NA,"loosen","loosen","neither","loosen",NA,"tighten","loosen","loosen","loosen","loosen"
"54",2009 Q2,"loosen","loosen","loosen","loosen","neither","loosen","loosen","loosen","neither","neither","neither","neither","neither","loosen","loosen","neither","neither","loosen","loosen","loosen","loosen","loosen","loosen","neither",NA,"loosen","neither","loosen","loosen",NA,"tighten","loosen","loosen","loosen","loosen"
"55",2009 Q3,"neither","neither","loosen","neither","neither","neither","neither","loosen","neither","neither","neither","neither","neither","neither","loosen","neither","neither","loosen","neither","loosen","loosen","tighten","loosen","loosen",NA,"loosen","tighten","loosen","loosen",NA,"loosen","loosen","loosen","loosen","loosen"
"56",2009 Q4,"tighten","neither","loosen","loosen","neither","neither","tighten","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","loosen","neither","loosen","loosen","loosen",NA,"neither","tighten","loosen","neither",NA,"loosen","neither","neither","neither","loosen"
"57",2010 Q1,"tighten","neither","loosen","loosen","neither","neither","neither","neither","neither","neither","neither","neither","neither","tighten","neither","neither","tighten","neither","neither","neither","neither","loosen","neither","loosen","neither","loosen","neither","loosen","loosen","neither","neither","neither","neither","neither","loosen"
"58",2010 Q2,"tighten","tighten","loosen","loosen","neither","tighten","tighten","neither","neither","neither","neither","neither","neither","tighten","neither","neither","tighten","neither","neither","loosen","neither","tighten","loosen","loosen","neither","loosen","tighten","loosen","neither","tighten","neither","tighten","tighten","tighten","loosen"
"59",2010 Q3,"neither","tighten","neither","loosen","neither","tighten","neither","tighten","neither","neither","neither","neither","neither","tighten","neither","tighten","tighten","neither","tighten","neither","neither","loosen","neither","neither","neither","neither","tighten","neither","loosen","neither","neither","tighten","tighten","tighten","tighten"
"60",2010 Q4,"tighten","neither","tighten","loosen","loosen","neither","neither","tighten","neither","neither","neither","tighten","neither","tighten","neither","tighten","neither","neither","tighten","neither","neither","loosen","neither","tighten","neither","neither","neither","neither","loosen","loosen","neither","neither","tighten","neither","tighten"
"61",2011 Q1,"neither","neither","neither","loosen","neither","loosen","neither","tighten","neither","neither","neither","tighten","neither","tighten","tighten","tighten","neither","tighten","tighten","tighten","neither","loosen","neither","tighten","tighten","neither","tighten","tighten","neither","loosen","neither","tighten","tighten","tighten","tighten"
"62",2011 Q2,"neither","neither","tighten","neither","neither","neither","tighten","tighten","neither","neither","neither","tighten","neither","tighten","neither","tighten","tighten","tighten","tighten","tighten","neither","loosen","neither","neither","tighten","neither","tighten","tighten","neither","neither","neither","tighten","tighten","tighten","loosen"
"63",2011 Q3,"neither","neither","tighten","tighten","neither","neither","neither","tighten","loosen","neither","neither","tighten","neither","tighten","neither","neither","neither","neither","tighten","tighten","neither","tighten","neither","neither","neither","neither","neither","neither","neither","loosen","neither","loosen","neither","neither","loosen"
"64",2011 Q4,"loosen","neither","loosen","tighten","neither","neither","loosen","loosen","neither","neither","neither","neither","neither","tighten","loosen","neither","neither","neither","loosen","tighten","neither","tighten","neither","tighten","neither","loosen","loosen","loosen","neither","neither","neither","loosen","neither","neither","loosen"
"65",2012 Q1,"neither","neither","neither","tighten","neither","neither","loosen","loosen","neither","neither","neither","neither","neither","neither","loosen","neither","neither","loosen","loosen","tighten","neither","loosen","neither","neither","neither","loosen","loosen","neither","neither","neither","neither","loosen","loosen","neither","loosen"
"66",2012 Q2,"loosen","neither","loosen","tighten","neither","neither","neither","neither","neither","neither","neither","loosen","neither","loosen","neither","neither","neither","neither","neither","neither","neither","loosen","loosen","neither","tighten","neither","loosen","tighten","neither","neither","neither","loosen","neither","neither","tighten"
"67",2012 Q3,"neither","neither","loosen","neither","neither","neither","neither","loosen","neither","neither","neither","loosen","neither","neither","neither","loosen","neither","loosen","neither","loosen","neither","loosen","neither","loosen","neither","neither","neither","neither","loosen","neither","neither","loosen","neither","neither","tighten"
"68",2012 Q4,"loosen","neither","neither","tighten","neither","neither","neither","loosen","neither","neither","neither","neither","neither","neither","neither","loosen","neither","loosen","loosen","loosen","neither","tighten","loosen","loosen","loosen","neither","loosen","neither","neither","loosen","neither","loosen","neither","neither","tighten"
"69",2013 Q1,"neither","neither","tighten","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","loosen","neither","neither","neither","neither","neither","loosen","loosen","tighten","neither","loosen","loosen","neither","neither","neither","neither","neither","neither","neither","neither","neither","tighten"
"70",2013 Q2,"loosen","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","loosen","tighten","loosen","neither","neither","loosen","neither","neither","loosen","neither","loosen","loosen","neither","loosen","neither","neither","loosen","neither","tighten","neither","neither","loosen"
"71",2013 Q3,"loosen","neither","neither","neither",NA,"neither","neither","neither","neither","neither","neither","neither","neither","tighten","tighten","neither","neither","neither","neither","neither","loosen","tighten","neither","loosen","loosen","loosen","loosen","loosen","neither","neither","neither","tighten","neither","neither","neither"
"72",2013 Q4,"neither","neither","neither","neither",NA,"neither","neither","loosen","neither","neither","neither","neither","neither","tighten","tighten","neither","neither","neither","loosen","neither","loosen","loosen","neither","loosen","neither","loosen","neither","neither","neither","neither","neither","tighten","loosen","loosen","loosen"
"73",2014 Q1,"neither","neither","neither","neither",NA,"tighten","neither","neither","neither","neither","neither","neither","neither","tighten","neither","neither","neither","neither","loosen","neither","neither","tighten","neither","loosen","neither","loosen","loosen","tighten","tighten","tighten","tighten","tighten","loosen","neither","neither"
"74",2014 Q2,"neither","neither","tighten","loosen",NA,"tighten","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","neither","tighten","loosen","loosen","neither","loosen","neither","neither","neither","tighten","neither","loosen","loosen","tighten","neither","neither","loosen"
"75",2014 Q3,"neither","neither","loosen","neither",NA,"tighten","neither","loosen","neither","neither","neither","neither","neither","neither","neither","loosen","tighten","tighten","neither","tighten","neither","tighten","neither","loosen","neither","loosen","loosen","tighten","tighten","loosen","tighten","neither","loosen","loosen","neither"
"76",2014 Q4,"neither","neither","neither","loosen",NA,"neither","loosen","loosen","loosen","neither","neither","loosen","neither","neither","tighten","loosen","neither","neither","neither","neither","neither","loosen","neither","neither","loosen","loosen","neither","tighten","neither","neither","neither","tighten","loosen","neither","loosen"
"77",2015 Q1,"loosen","loosen","loosen","neither",NA,"neither","neither","loosen","loosen","neither","neither","loosen","neither","loosen","loosen","loosen","neither","neither","loosen","neither","neither","tighten","neither","loosen","loosen","loosen","loosen","loosen","neither","loosen","loosen","tighten","neither","loosen","loosen"
"78",2015 Q2,"loosen","neither","neither","tighten",NA,"loosen","loosen","neither","neither","neither","neither","loosen","neither","loosen","neither","loosen","neither","neither","loosen","neither","neither","loosen","neither","loosen","neither","loosen","neither","loosen","neither","neither","loosen","tighten","neither","neither","loosen"
"79",2015 Q3,"neither","loosen","neither","tighten",NA,"loosen","loosen","loosen","neither","neither","neither","loosen","neither","loosen","neither","neither","neither","neither","neither","tighten","neither","tighten","neither","loosen","neither","neither","neither","loosen","tighten","neither","loosen","tighten","neither","tighten","loosen"
"80",2015 Q4,"neither","neither","neither","tighten",NA,"loosen","neither","neither","neither","neither","tighten","loosen","tighten","neither","neither","neither","neither","neither","neither","tighten","tighten","loosen","neither","neither","neither","neither","neither","neither","tighten","neither",NA,"neither","tighten","tighten","loosen"
"81",2016 Q1,"neither","neither","tighten","neither",NA,"loosen","loosen","loosen","neither","neither",NA,"neither","neither","neither","loosen","neither","neither","neither","neither","tighten","tighten","tighten","neither","loosen","neither","neither","neither","neither","tighten","neither",NA,"neither",NA,NA,"loosen"
"82",2016 Q2,"loosen","neither","neither","neither",NA,"neither","neither","neither","neither","neither",NA,"neither","neither","loosen","loosen","loosen","neither","loosen","neither","tighten","tighten","loosen","neither","loosen","neither","neither","neither","loosen","neither","neither",NA,"neither",NA,NA,"neither"
"83",2016 Q3,"loosen","neither","neither","loosen","loosen","loosen","neither","neither","neither","loosen",NA,"neither","neither","neither","loosen","neither","loosen","neither","neither","tighten","tighten","tighten","neither","neither","neither","neither","neither","loosen","neither","neither",NA,"neither",NA,NA,"loosen"
"84",2016 Q4,"neither","neither","neither","loosen","neither",NA,"neither","neither","neither","neither",NA,"neither","tighten","loosen","loosen","neither","neither","neither","neither","loosen","tighten","loosen","neither","neither","neither","neither","neither","neither",NA,"tighten",NA,"loosen",NA,NA,NA
"85",2017 Q1,"neither","neither","neither","neither","neither",NA,"neither",NA,"neither","neither",NA,"neither",NA,"neither",NA,NA,NA,NA,"neither","loosen","tighten",NA,"neither","neither",NA,NA,"neither","loosen",NA,NA,NA,NA,NA,NA,NA
"86",2017 Q2,"neither",NA,"neither","loosen","neither",NA,NA,NA,NA,"neither",NA,"neither",NA,"neither",NA,NA,NA,NA,"neither",NA,"tighten",NA,NA,"neither",NA,NA,"neither","loosen",NA,NA,NA,NA,NA,NA,NA
"87",1995 Q1,NA,"tighten","tighten",NA,NA,NA,"neither","tighten","loosen","tighten","tighten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,NA,NA,NA
"88",1995 Q2,NA,"loosen","loosen",NA,NA,NA,"neither","tighten","neither","neither","neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,NA,NA,NA
"89",1995 Q3,NA,"loosen","loosen",NA,NA,NA,"neither","tighten","loosen","neither","loosen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loosen",NA,NA,NA,NA
"90",1995 Q4,NA,"loosen","loosen",NA,NA,NA,"neither","neither","loosen","loosen","loosen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tighten",NA,NA,NA,NA
"91",2017 Q3,NA,NA,"neither","neither",NA,NA,NA,NA,NA,"neither",NA,"neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
